gene,locus_capt,type,Stock_number,PA.site.number,insert.location,PA.group,treatment,collection.time,replicate,tray,row,column,plant_ID,rosette.diameter,bolt.at.collection,germination.day,Length.cm.,primary.length,upper.LR.count,mid.LR.count,lower.LR.count,upper.LR.length,mid.LR.length,lower.LR.length,LR.count,LR.density,mid.LR.density,lower.LR.density,ttl.LR.count,upper.LR.density,below.ground.mass.mg,above.ground.mass.mg,day.to.bolt,diameter.at.bolt,day.to.flower,day.to.mature,reprod.num,basal.fruit.length,mid.fruit.length,upper.fruit.length,inflorescence.height,mainbranch,basal.branch,ttl.maininfl.branch,branch.basalbranch,days.to.collect,days.to.bolt,days.to.flower,collection.age,days.to.mature,ttl.branch,fruit.num,flw.num,aborted.fruits,flw.buds,above.ground.mass.g,plant.age,locus,PAC_count,PAC_count_neg,PAC_count_pos,mean_PAC_insert_dist,mean_PAC_insert_dist_pos,mean_PAC_insert_dist_neg,PAC_strand_group
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,14d,3,2,M,6,326,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G12820,11,11,0,NA,NA,NA,-
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,IAA,14d,3,2,M,7,327,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
phytometer,,,CS22596,NA,phytometer,,control,14d,4,2,M,10,330,18.7,,4,39.8333,4.794,11,8,5,2.676,1.379,0.583,NA,4.067584481,5.006257822,3.128911139,13,6.883604506,0.377,3.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,14d,3,2,N,1,331,14,,2,23.5944,1.914,6,7,2,1.448,0.167,0.048,NA,7.053291536,10.97178683,3.134796238,9,9.404388715,0.181,1.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G46530,4,0,4,1351,1351,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,14d,4,2,N,3,333,20.2,,3,41.6661,4.521,13,4,1,0.407,0.699,0.033,NA,1.658925017,2.654280027,0.663570007,5,8.626410086,0.267,3.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G12820,11,11,0,NA,NA,NA,-
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,control,14d,4,2,N,5,335,2.6,,4,1.6892,1.683,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G46530,4,0,4,1351,1351,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,IAA,14d,5,2,N,9,339,13.4,,2,25.8393,2.27,12,10,0,1.154,0.194,0,NA,6.607929515,13.21585903,0,10,15.85903084,0.245,1.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G35540,4,0,4,1762,1762,NA,+
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,IAA,14d,5,2,O,1,341,8.5,,2,14.1752,3.782,22,11,0,0.489,0.396,0,NA,4.362771021,8.725542041,0,11,17.45108408,0.099,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G60450,10,10,0,2728.1,NA,2728.1,-
phytometer,,,CS70000,NA,phytometer,,control,14d,5,2,O,5,345,10.6,,3,24.5159,6.456,8,10,10,1.358,0.579,0.045,NA,4.646840149,4.646840149,4.646840149,20,3.717472119,0.121,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,14d,6,2,O,6,346,13.5,,2,19.8671,2.326,18,7,0,0.941,0.077,0,NA,4.514187446,9.028374893,0,7,23.21582115,0.191,1.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G46530,4,0,4,1351,1351,NA,+
phytometer,,,CS22596,NA,phytometer,,control,14d,5,2,O,10,350,14.1,,2,14.8553,2.513,5,3,0,1.417,0.87,0,NA,1.79068842,3.58137684,0,3,5.968961401,0.241,2.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,14d,5,2,P,3,353,17.3,,2,43.6142,3.435,8,4,0,3.533,1.581,0,NA,1.746724891,3.493449782,0,4,6.986899563,0.286,2.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,IAA,14d,5,2,P,4,354,13.2,,3,25.9218,2.452,19,14,0,0.422,0.69,0,NA,8.564437194,17.12887439,0,14,23.24632953,0.186,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,control,14d,5,2,P,5,355,16.7,,3,22.0585,4.146,4,4,0,1.941,0.347,0,NA,1.447178003,2.894356006,0,4,2.894356006,0.14,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS22658,NA,phytometer,,control,14d,5,2,P,7,357,4,,3,2.0411,1.495,0,0,3,0,0,0.045,NA,3.010033445,0,6.02006689,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22636,NA,phytometer,,control,14d,5,2,P,8,358,16.7,,6,29.5949,5.153,10,8,6,2.137,0.881,0.21,NA,4.075295944,4.657481079,3.493110809,14,5.821851349,0.206,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,IAA,14d,6,2,Q,3,363,6.3,,3,15.36,3.498,17,9,1,0.413,0.955,0.038,NA,4.288164666,7.718696398,0.857632933,10,14.57975986,0.069,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,control,14d,6,2,Q,4,364,16.8,,3,47.1025,5.618,8,7,12,1.19,1.053,0.348,NA,5.072979708,3.737985048,6.407974368,19,4.271982912,0.226,2.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,control,14d,6,2,Q,6,366,15.9,,3,44.0815,3.084,8,7,3,2.436,2.516,0.506,NA,4.86381323,6.809338521,2.918287938,10,7.782101167,0.279,1.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS22636,NA,phytometer,,IAA,14d,6,2,Q,8,368,11.2,,6,13.0168,2.57,14,9,2,0.452,0.101,0.221,NA,6.420233463,10.50583658,2.33463035,11,16.34241245,0.148,1.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22617,NA,phytometer,,IAA,14d,5,2,Q,9,369,8.2,,2,9.6775,2.008,14,15,0,0.519,0.047,0,NA,11.20517928,22.41035857,0,15,20.91633466,0.142,1.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,IAA,14d,5,2,Q,10,370,14.7,,2,30.2845,3.577,13,10,3,2.889,0.957,0.067,NA,5.451495667,8.38691641,2.516074923,13,10.90299133,0.248,2.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G21050,1,0,1,1535,1535,NA,+
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,14d,5,2,R,1,371,12.6,,2,37.0042,3.734,5,8,4,2.108,0.441,2.091,NA,4.820567756,6.427423674,3.213711837,12,4.017139796,0.197,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G60450,10,10,0,2728.1,NA,2728.1,-
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,IAA,14d,6,2,R,3,373,5,,4,6.5764,3.46,10,1,0,0.069,0.06,0,NA,0.433526012,0.867052023,0,1,8.670520231,0.044,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,IAA,14d,5,2,R,6,376,16,,3,34.1434,4.096,25,9,0,2.118,0.298,0,NA,3.295898438,6.591796875,0,9,18.31054688,0.213,1.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G15100,0,0,0,NA,NA,NA,NA
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,control,14d,6,2,R,7,377,21.9,,3,83.4547,5.915,11,15,0,2.448,1.511,0,NA,3.803888419,7.607776839,0,15,5.579036348,0.453,3.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G15100,0,0,0,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,14d,5,2,R,9,379,14.8,,3,23.8772,2.481,16,8,5,0.191,1.059,0.144,NA,7.859733978,9.673518742,6.045949214,13,19.34703748,0.163,1.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G46530,4,0,4,1351,1351,NA,+
phytometer,,,CS22617,NA,phytometer,,IAA,14d,6,2,R,10,380,12.7,,2,21.5933,2.458,18,13,0,1.039,0.2,0,NA,7.933279089,15.86655818,0,13,21.96908055,0.187,1.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,14d,5,2,S,2,382,11.9,,3,27.4533,3.309,13,15,3,0.672,1.521,0.127,NA,8.159564823,13.59927471,2.719854941,18,11.78603808,0.15,1.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,IAA,14d,6,2,S,3,383,11.1,,3,20.4052,3.321,23,0,0,0.248,0,0,NA,0,0,0,0,20.77687444,0.099,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
phytometer,,,CS22617,NA,phytometer,,control,14d,5,2,S,4,384,13.9,,2,9.1748,0.839,1,1,1,1.893,1.904,0.052,NA,3.57568534,3.57568534,3.57568534,2,3.57568534,0.15,3.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,IAA,14d,5,2,S,6,386,12.5,,2,29.3063,3.319,24,6,6,1.158,1.839,0.113,NA,5.423320277,5.423320277,5.423320277,12,21.69328111,0.176,1.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G57420,1,0,1,899,899,NA,+
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,IAA,14d,5,2,S,7,387,14.4,,3,36.9964,4.734,23,7,4,1.699,0.465,0.174,NA,3.485424588,4.43599493,2.534854246,11,14.57541191,0.19,1.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G15580,1,1,0,465,NA,465,-
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,control,14d,6,2,T,1,391,12.2,,5,19.5647,4.214,6,6,5,0.607,1.663,0.286,NA,3.915519696,4.271476032,3.55956336,11,4.271476032,0.097,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G21050,1,0,1,1535,1535,NA,+
phytometer,,,CS22647,NA,phytometer,,control,14d,5,2,T,10,400,6.4,,3,3.2927,1.358,9,2,1,0.364,0.016,0.04,NA,3.313696613,4.41826215,2.209131075,3,19.88217968,0.027,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,control,14d,6,3,A,3,403,1.3,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,control,14d,6,3,A,4,404,13.4,,2,46.1652,4.683,14,12,2,2.976,1.599,0.023,NA,4.484304933,7.687379885,1.281229981,14,8.968609865,0.28,1.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G46530,4,0,4,1351,1351,NA,+
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,14d,6,3,A,5,405,9,,2,16.7469,4.065,6,7,0,2.049,0.192,0,NA,2.58302583,5.166051661,0,7,4.42804428,0.101,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G60450,10,10,0,2728.1,NA,2728.1,-
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,14d,6,3,A,5,405,9,,2,14.8736,4.065,6,7,0,2.049,0.192,0,NA,2.58302583,5.166051661,0,7,4.42804428,0.101,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G60450,10,10,0,2728.1,NA,2728.1,-
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,IAA,14d,6,3,A,6,406,19.3,,3,66.435,5.427,29,10,7,0.241,0.805,0.332,NA,4.698728579,5.527915976,3.869541183,17,16.03095633,0.346,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G15100,0,0,0,NA,NA,NA,NA
phytometer,,,CS22596,NA,phytometer,,control,14d,6,3,A,8,408,13,,2,NA,3.761,9,1,0,1.471,0.018,0,NA,0.398830098,0.797660197,0,1,7.178941771,0.145,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,control,14d,6,3,A,10,410,12.9,,3,28.2008,4.501,7,6,2,2.738,1.051,0.36,NA,2.666074206,3.999111309,1.333037103,8,4.66562986,0.15,1.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G15580,1,1,0,465,NA,465,-
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,14d,5,3,B,2,412,18.3,,2,51.4658,4.11,5,7,2,2.542,0.196,0.032,NA,3.284671533,5.109489051,1.459854015,9,3.649635036,0.364,3.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G80390,2,2,0,NA,NA,NA,-
phytometer,,,CS22647,NA,phytometer,,control,14d,6,3,B,5,415,7.5,,3,8.1044,2.123,5,3,5,0.252,0.657,0.275,NA,5.652378709,4.239284032,7.065473387,8,7.065473387,0.052,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22636,NA,phytometer,,control,14d,6,3,B,6,416,19,,3,66.857,4.048,10,5,0,2.443,0.385,0,NA,1.852766798,3.705533597,0,5,7.411067194,0.394,2.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,14d,6,3,B,8,418,21,,3,56.6145,3.821,7,7,2,4.151,0.591,0.159,NA,3.533106517,5.49594347,1.570269563,9,5.49594347,0.364,3.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G80390,2,2,0,NA,NA,NA,-
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,14d,6,3,B,9,419,19.3,,3,51.1926,6.627,12,13,9,1.354,1.09,0.53,NA,4.979628791,5.885015844,4.074241738,22,5.432322318,0.264,2.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G12820,11,11,0,NA,NA,NA,-
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,control,14d,5,3,B,10,420,NA,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
phytometer,,,CS22647,NA,phytometer,,IAA,14d,5,3,C,3,423,8.4,,3,11.9889,2.024,8,6,5,0.356,0.804,0.372,NA,8.152173913,8.893280632,7.411067194,11,11.85770751,0.063,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,control,14d,5,3,C,8,428,18.6,,3,77.082,4.717,10,7,6,4.825,1.579,1.636,NA,4.133983464,4.451982192,3.815984736,13,6.35997456,0.421,2.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT5G15100,0,0,0,NA,NA,NA,NA
phytometer,,,CS22658,NA,phytometer,,control,14d,6,3,D,1,431,17.6,,2,39.5525,3.079,7,3,0,2.576,0.719,0,NA,1.461513478,2.923026957,0,3,6.820396233,0.353,2.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22658,NA,phytometer,,IAA,14d,6,3,D,2,432,15.4,,3,28.2529,3.879,21,13,2,0.697,0.539,0.144,NA,5.800464037,10.05413766,1.54679041,15,16.2412993,0.237,1.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,control,14d,5,3,D,4,434,17.6,,3,53.3429,5.178,10,5,4,1.198,1.926,0.575,NA,2.607184241,2.896871379,2.317497103,9,5.793742758,0.315,2.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
phytometer,,,CS22636,NA,phytometer,,IAA,14d,5,3,D,6,436,14.2,,3,42.6406,4.635,14,11,2,1.349,1.246,0.311,NA,4.207119741,7.1197411,1.294498382,13,9.061488673,0.261,1.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,NA,NA,NA,NA,NA,NA
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,14d,5,3,D,7,437,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G12820,11,11,0,NA,NA,NA,-
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,IAA,14d,6,3,D,10,440,19.6,,3,74.0129,4.924,20,12,11,2.988,2.726,0.225,NA,7.006498781,7.311129163,6.7018684,23,12.18521527,0.396,2.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G21050,1,0,1,1535,1535,NA,+
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,control,14d,5,3,E,1,441,1.9,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,control,14d,6,3,E,5,445,17.2,,3,32.2053,3.518,9,0,0,2.304,0.043,0,NA,0,0,0,0,7.674815236,0.24,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,14d,6,3,E,6,446,12.2,,2,42.8323,5.48,22,10,9,1.988,1.38,0.234,NA,5.200729927,5.474452555,4.927007299,19,12.04379562,0.215,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,14d,6,3,E,8,448,16.1,,2,35.734,3.553,8,0,0,1.432,0,0,NA,0,0,0,0,6.754855052,0.295,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,IAA,14d,5,3,F,1,451,12.3,,6,16.1847,4.592,14,8,1,1.527,0.021,0.034,NA,2.93989547,5.226480836,0.653310105,9,9.146341463,0.089,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,control,14d,6,3,F,2,452,18.6,,4,57.4575,5.257,14,11,1,0.554,0.309,0.252,NA,3.424006087,6.277344493,0.570667681,12,7.989347537,0.52,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
